# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.from.cache.ms,1747918584791000000,1747918604693000000,0
workspaceModel.initializing.ms,1747918584791000000,1747918604693000000,0
workspaceModel.updates.count,1747918584791000000,1747918604693000000,0
workspaceModel.init.bridges.ms,1747918584791000000,1747918604693000000,0
workspaceModel.loading.from.cache.ms,1747918584791000000,1747918604693000000,86
workspaceModel.cachedValue.total.get.ms,1747918584791000000,1747918604693000000,1
workspaceModel.updates.ms,1747918584791000000,1747918604693000000,0
workspaceModel.updates.precise.ms,1747918584791000000,1747918604693000000,0
workspaceModel.check.recursive.update.ms,1747918584791000000,1747918604693000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1747918584791000000,1747918604693000000,0
workspaceModel.pre.handlers.ms,1747918584791000000,1747918604693000000,0
workspaceModel.cachedValue.calculated.ms,1747918584791000000,1747918604693000000,1
workspaceModel.cachedValueWithParameters.total.get.ms,1747918584791000000,1747918604693000000,0
workspaceModel.loading.total.ms,1747918584791000000,1747918604693000000,104
workspaceModel.cachedValueWithParameters.clear.ms,1747918584791000000,1747918604693000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1747918584791000000,1747918604693000000,0
workspaceModel.cachedValue.clear.ms,1747918584791000000,1747918604693000000,0
workspaceModel.to.snapshot.ms,1747918584791000000,1747918604693000000,0
workspaceModel.update.unloaded.entities.ms,1747918584791000000,1747918604693000000,0
workspaceModel.collect.changes.ms,1747918584791000000,1747918604693000000,0
workspaceModel.replace.project.model.ms,1747918584791000000,1747918604693000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1747918584791000000,1747918604693000000,3
workspaceModel.full.replace.project.model.ms,1747918584791000000,1747918604693000000,0
NonBlockingReadAction.failedExecutionTimeUs,1747918584791000000,1747918604693000000,0
WriteAction.executionsCount,1747918584791000000,1747918604693000000,1
